female,Females
women,Females
male,Males
men,Males
median age,Median age of persons 
average age,Median age of persons 
personal income,Median total personal income ($/weekly) 
median income,Median total personal income ($/weekly) 
average income,Median total personal income ($/weekly) 
income for people,Median total personal income ($/weekly) 
income for persons,Median total personal income ($/weekly) 
family income,Median total family income ($/weekly) 
income for families,Median total family income ($/weekly) 
family of families,Median total family income ($/weekly) 
household income,Median total household income ($/weekly) 
income for households,Median total household income ($/weekly) 
income of households,Median total household income ($/weekly) 
mortgage,Median mortgage repayment ($/monthly) 
repayment,Median mortgage repayment ($/monthly) 
repayments,Median mortgage repayment ($/monthly) 
rental,Median rent ($/weekly) 
payment,Median rent ($/weekly) 
rent,Median rent ($/weekly) 
night of,Counted at home on Census Night 
at home on,Counted at home on Census Night 
same Statistical Area Level 2,Same Statistical Area Level 2 (SA2) 
same SA2,Same Statistical Area Level 2 (SA2) 
married,Married(a)
marriages,Married(a)
widows,Widowed
widowers,Widowed
separations,Separated
divorces,Divorced
never married,Never married
never been married,Never married
registered marriage,Married in a registered marriage
de facto,Married in a de facto marriage(b)
single,Not married
unmarried,Not married
indigenous,Indigenous(a)
aboriginal,Indigenous(a)
aboriginals,Indigenous(a)
aborgines,Indigenous(a)
torres strait,Indigenous(a)
non indigenous,Non-Indigenous
not indigenous,Non-Indigenous
China,China (excl. SARs and Taiwan)(b)
Yugoslavia,Former Yugoslav Republic of Macedonia (FYROM)
Hong Kong,Hong Kong (SAR of China)(b)
Korea,Korea, Republic of (South)
United Kingdom,United Kingdom, Channel Islands and Isle of Man(d)
UK,United Kingdom, Channel Islands and Isle of Man(d)
USA,United States of America
US,United States of America
NZ,New Zealnd
United States,United States of America
America,United States of America
speak only English,Speaks English only
speak English,Speaks English only
speak another language,Speaks other language total
language other than English,Speaks other language total
speak Chinese,Chinese languages total
Chinese speakers,Chinese languages total
speak Iranian,Iranic Languages total
Buddhist,Buddhism
Buddhists,Buddhism
Christian,Christianity total
Christians,Christianity total
Christianity,Christianity total
Anglicans,Anglican
Assyrian Apostolics,Assyrian Apostolic
apostolic,Assyrian Apostolic
apostolics,Assyrian Apostolic
Baptists,Baptist
Catholics,Catholic
Catholicism,Catholic
Church of Christ,Churches of Christ
Witnesses,Jehovah's Witnesses
Latter Day,Latter-day Saints
Mormons,Latter-day Saints
Lutherans,Lutheran
Pentecostals,Pentecostal
Presbyterian,Presbyterian and Reformed
